ID,Name,Author,Category,language
JA-125,Quyosh baribir chiqaveradi,Ernest Xeminguyey,jahon adabiyoti,o'zbek
JA-126,To‘qchilik va yo‘qchilik,Ernest Xeminguyey,jahon adabiyoti,o'zbek
JA-127,To‘qchilik va yo‘qchilik,Ernest Xeminguyey,jahon adabiyoti,o'zbek
JA-128,Chol va dengiz,Ernest Xyeminguey,jahon adabiyoti,o'zbek
JA-129,Chol va dengiz,Ernest Xyeminguey,jahon adabiyoti,o'zbek
JA-130,So‘na,Etel Lilian Voynich,jahon adabiyoti,o'zbek
JA-131,So‘na,Etel Lilian Voynich,jahon adabiyoti,o'zbek
JA-132,Jarayon,Frans Kafka,jahon adabiyoti,o'zbek
JA-133,Jarayon,Frans Kafka,jahon adabiyoti,o'zbek
JA-134,Evrilish,Frans Kafka,jahon adabiyoti,o'zbek
JA-135,Evrilish,Frans Kafka,jahon adabiyoti,o'zbek
JA-136,Qo‘rg‘on,Frans Kafka,jahon adabiyoti,o'zbek
JA-137,Qo‘rg‘on,Frans Kafka,jahon adabiyoti,o'zbek
JA-138,Qimorboz,Fyodor Dostoyevskiy,jahon adabiyoti,o'zbek
JA-139,Qimorboz,Fyodor Dostoyevskiy,jahon adabiyoti,o'zbek
JA-140,Jinoyat va jazo,Fyodor Dostoyevskiy,jahon adabiyoti,o'zbek
JA-141,Jinoyat va jazo,Fyodor Dostoyevskiy,jahon adabiyoti,o'zbek
JA-142,Yolg‘izlikning yuz yili,Gabriel Garsia Markes,jahon adabiyoti,o'zbek
JA-143,Yolg‘izlikning yuz yili,Gabriel Garsia Markes,jahon adabiyoti,o'zbek
JA-144,Buzrukning kuzi,Gabriel Garsia Markes,jahon adabiyoti,o'zbek
JA-145,Buzrukning kuzi,Gabriel Garsia Markes,jahon adabiyoti,o'zbek
JA-146,Ulug‘ onaning janozasi,Gabriel Garsia Markes,jahon adabiyoti,o'zbek
JA-147,Ulug‘ onaning janozasi,Gabriel Garsia Markes,jahon adabiyoti,o'zbek
JA-148,Marjon shodasi,Gi De Mopassan,jahon adabiyoti,o'zbek
JA-149,Marjon shodasi,Gi De Mopassan,jahon adabiyoti,o'zbek
JA-150,Bovari xonim,Gustav Flober,jahon adabiyoti,o'zbek
JA-151,Bovari xonim,Gustav Flober,jahon adabiyoti,o'zbek
JA-152,Faust,Gyote Iogann Volfgang fon,jahon adabiyoti,o'zbek
JA-153,Faust,Gyote Iogann Volfgang fon,jahon adabiyoti,o'zbek
JA-154,Gʻarbu Sharq devoni,Gyote Iogann Volfgang fon,jahon adabiyoti,o'zbek
JA-155,Gʻarbu Sharq devoni,Gyote Iogann Volfgang fon,jahon adabiyoti,o'zbek
JA-156,Mazaxchini o‘ldirish,Harper Li,jahon adabiyoti,o'zbek
JA-157,Mazaxchini o‘ldirish,Harper Li,jahon adabiyoti,o'zbek
JA-158,Vaqt mashinasi,Herbert Uells,jahon adabiyoti,o'zbek
JA-159,Vaqt mashinasi,Herbert Uells,jahon adabiyoti,o'zbek
JA-160,Doktor Moro oroli,Herbert Uells,jahon adabiyoti,o'zbek
JA-161,Doktor Moro oroli,Herbert Uells,jahon adabiyoti,o'zbek
JA-162,Ko‘rinmas odam,Herbert Uells,jahon adabiyoti,o'zbek
JA-163,Ko‘rinmas odam,Herbert Uells,jahon adabiyoti,o'zbek
JA-164,Cho‘l bo‘risi,Hermann Hesse,jahon adabiyoti,o'zbek
JA-165,Cho‘l bo‘risi,Hermann Hesse,jahon adabiyoti,o'zbek
JA-166,Otalar va bolalar,Ivan Turgenev,jahon adabiyoti,o'zbek
JA-167,Otalar va bolalar,Ivan Turgenev,jahon adabiyoti,o'zbek
JA-168,Barbarossaning 101 tilsimi,J. AT-Turboniy,jahon adabiyoti,o'zbek
JA-169,Barbarossaning 101 tilsimi,J. AT-Turboniy,jahon adabiyoti,o'zbek
JA-170,Yetti majlis,Jaloliddin Rumiy,jahon adabiyoti,o'zbek
JA-171,Yetti majlis,Jaloliddin Rumiy,jahon adabiyoti,o'zbek
JA-172,Radiy Fish,Jaloliddin Rumiy,jahon adabiyoti,o'zbek
JA-173,Radiy Fish,Jaloliddin Rumiy,jahon adabiyoti,o'zbek
JA-174,Skafandr va kapalak,Jan-Dominik Bobi,jahon adabiyoti,o'zbek
JA-175,Skafandr va kapalak,Jan-Dominik Bobi,jahon adabiyoti,o'zbek
JA-176,Javdarzordagi xaloskor,Jerom Selinjer,jahon adabiyoti,o'zbek
JA-177,Javdarzordagi xaloskor,Jerom Selinjer,jahon adabiyoti,o'zbek
JA-178,Gonkongdan kelgan tobut,Jeyms Cheyz,jahon adabiyoti,o'zbek
JA-179,Gonkongdan kelgan tobut,Jeyms Cheyz,jahon adabiyoti,o'zbek
JA-180,Yarim million dollarlik qilmish,Jeyms Cheyz,jahon adabiyoti,o'zbek
JA-181,Yarim million dollarlik qilmish,Jeyms Cheyz,jahon adabiyoti,o'zbek
JA-182,Musavvirning yoshlikdagi shamoyili,Jeyms Joys,jahon adabiyoti,o'zbek
JA-183,Musavvirning yoshlikdagi shamoyili,Jeyms Joys,jahon adabiyoti,o'zbek
JA-184,Qo‘lingdan kelsa mahv et,Jeyms Patterson,jahon adabiyoti,o'zbek
JA-185,Qo‘lingdan kelsa mahv et,Jeyms Patterson,jahon adabiyoti,o'zbek
JA-186,Venesiya missiyasi,Jeyms Xedli Cheyz,jahon adabiyoti,o'zbek
JA-187,Venesiya missiyasi,Jeyms Xedli Cheyz,jahon adabiyoti,o'zbek
JA-188,Andisha va g‘urur,Jeyn Ostin,jahon adabiyoti,o'zbek
JA-189,Andisha va g‘urur,Jeyn Ostin,jahon adabiyoti,o'zbek
JA-190,Bu yerda hamma narsa bo‘lishi mumkin,Jianna Molinari,jahon adabiyoti,o'zbek
JA-191,Bu yerda hamma narsa bo‘lishi mumkin,Jianna Molinari,jahon adabiyoti,o'zbek
JA-192,Qotilning psixologik portreti,"Jon Duglas, Mark Olsheyker",jahon adabiyoti,o'zbek
JA-193,Qotilning psixologik portreti,"Jon Duglas, Mark Olsheyker",jahon adabiyoti,o'zbek
JA-194,U zamonlarda urush bor edi,Jon Steynbek,jahon adabiyoti,o'zbek
JA-195,U zamonlarda urush bor edi,Jon Steynbek,jahon adabiyoti,o'zbek
JA-196,Taxtlar o‘yini,Jorj R. R. Martin,jahon adabiyoti,o'zbek
JA-197,Taxtlar o‘yini,Jorj R. R. Martin,jahon adabiyoti,o'zbek
JA-198,O‘n besh yoshli kapitan,Jyul Vern,jahon adabiyoti,o'zbek
JA-199,O‘n besh yoshli kapitan,Jyul Vern,jahon adabiyoti,o'zbek
JA-200,Suv ostida 80 ming kilometr,Jyul Vern,jahon adabiyoti,o'zbek
JA-201,Suv ostida 80 ming kilometr,Jyul Vern,jahon adabiyoti,o'zbek
JA-202,Ostun-ustun,Jyul Vern,jahon adabiyoti,o'zbek
JA-203,Ostun-ustun,Jyul Vern,jahon adabiyoti,o'zbek
JA-204,Qobusnoma,Kaykovus,jahon adabiyoti,o'zbek
JA-205,Qobusnoma,Kaykovus,jahon adabiyoti,o'zbek
JA-206,Hech bir uchrashuv tasodif emas,Hakan Mengyuch,jahon adabiyoti,o'zbek
JA-207,Chernobel tavallosi,Svetlana Aleksiyevich,jahon adabiyoti,o'zbek
JA-208,Viktoriya,Knut Gamsun,jahon adabiyoti,o'zbek
JA-209,Viktoriya,Knut Gamsun,jahon adabiyoti,o'zbek
JA-210,Majruh Muhabbat,Kolin Huver,jahon adabiyoti,o'zbek
JA-211,Majruh Muhabbat,Kolin Huver,jahon adabiyoti,o'zbek
JA-212,Barchasi biz bilan yakun topadi,Kolin Huver,jahon adabiyoti,o'zbek
JA-213,Barchasi biz bilan yakun topadi,Kolin Huver,jahon adabiyoti,o'zbek
JA-214,Barchasi biz bilan boshlanadi,Kolin Huver,jahon adabiyoti,o'zbek
JA-215,Barchasi biz bilan boshlanadi,Kolin Huver,jahon adabiyoti,o'zbek
JA-216,Anna Karenina 1,Lev Tolstoy,jahon adabiyoti,o'zbek
JA-217,Anna Karenina 1,Lev Tolstoy,jahon adabiyoti,o'zbek
JA-218,Anna Karenina 2,Lev Tolstoy,jahon adabiyoti,o'zbek
JA-219,Anna Karenina 2,Lev Tolstoy,jahon adabiyoti,o'zbek
JA-220,Urush va tinchlik 2,Lev Tolstoy,jahon adabiyoti,o'zbek
JA-221,Urush va tinchlik 2,Lev Tolstoy,jahon adabiyoti,o'zbek
JA-222,Urush va tinchlik 1,Lev Tolstoy,jahon adabiyoti,o'zbek
JA-223,Urush va tinchlik 1,Lev Tolstoy,jahon adabiyoti,o'zbek
JA-224,Xojimurod,Lev Tolstoy,jahon adabiyoti,o'zbek
JA-225,Xojimurod,Lev Tolstoy,jahon adabiyoti,o'zbek
JA-226,Sisiliyalik (Cho‘qintirgan ota 2),Mario Pyuzo,jahon adabiyoti,o'zbek
JA-227,Sisiliyalik (Cho‘qintirgan ota 2),Mario Pyuzo,jahon adabiyoti,o'zbek
JA-228,Cho‘qintirgan ota,Mario Pyuzo,jahon adabiyoti,o'zbek
JA-229,Cho‘qintirgan ota,Mario Pyuzo,jahon adabiyoti,o'zbek
JA-230,Soya o'g'risi,Mark Levi,jahon adabiyoti,o'zbek
JA-231,Shahzoda va gado,Mark Tven,jahon adabiyoti,o'zbek
JA-232,Shahzoda va gado,Mark Tven,jahon adabiyoti,o'zbek
JA-233,Hazrati Mavlono,Mehmet O‘nder,jahon adabiyoti,o'zbek
JA-234,Hazrati Mavlono,Mehmet O‘nder,jahon adabiyoti,o'zbek
JA-235,Ityurak,Mixail Bulgakov,jahon adabiyoti,o'zbek
JA-236,Ityurak,Mixail Bulgakov,jahon adabiyoti,o'zbek
JA-237,Yosh vrach kundaligi,Mixail Bulgakov,jahon adabiyoti,o'zbek
JA-238,Yosh vrach kundaligi,Mixail Bulgakov,jahon adabiyoti,o'zbek
JA-239,Hech,Murod Chovush,jahon adabiyoti,o'zbek
JA-240,Hech,Murod Chovush,jahon adabiyoti,o'zbek
JA-241,Abadiyat qonuni,Nodar Dumbadze,jahon adabiyoti,o'zbek
JA-242,Abadiyat qonuni,Nodar Dumbadze,jahon adabiyoti,o'zbek
JA-243,Qalb iffati,Nuriya Cheleyen,jahon adabiyoti,o'zbek
JA-244,Qalb iffati,Nuriya Cheleyen,jahon adabiyoti,o'zbek
JA-245,Ajib yangi dunyo,Oldos Xaksli,jahon adabiyoti,o'zbek
JA-246,Ajib yangi dunyo,Oldos Xaksli,jahon adabiyoti,o'zbek
JA-247,Dahriyning ibodati,Onore de Balzak,jahon adabiyoti,o'zbek
JA-248,Dahriyning ibodati,Onore de Balzak,jahon adabiyoti,o'zbek
JA-249,Dorian Greyning portreti,Oskar Uayld,jahon adabiyoti,o'zbek
JA-250,Dorian Greyning portreti,Oskar Uayld,jahon adabiyoti,o'zbek
JA-251,Alkimyogar,Paulo Koelo,jahon adabiyoti,o'zbek
JA-252,Alkimyogar,Paulo Koelo,jahon adabiyoti,o'zbek
JA-253,Alkimyogar,Paulo Koelo,jahon adabiyoti,o'zbek
JA-254,Alif,Paulo Koelo,jahon adabiyoti,o'zbek
JA-255,Alif,Paulo Koelo,jahon adabiyoti,o'zbek
JA-256,Portobello jodugari,Paulo Koelo,jahon adabiyoti,o'zbek
JA-257,Portobello jodugari,Paulo Koelo,jahon adabiyoti,o'zbek
JA-258,Yashil kecha (YAAA),Rashod Nuri Guntekin,jahon adabiyoti,o'zbek
JA-259,Yashil kecha (YAAA),Rashod Nuri Guntekin,jahon adabiyoti,o'zbek
JA-260,Iztirob,Rashod Nuri Guntekin,jahon adabiyoti,o'zbek
JA-261,Iztirob,Rashod Nuri Guntekin,jahon adabiyoti,o'zbek
JA-262,Choliqushi,Rashod Nuri Guntekin,jahon adabiyoti,o'zbek
JA-263,Choliqushi,Rashod Nuri Guntekin,jahon adabiyoti,o'zbek
JA-264,Otash kechasi,Rashod Nuri Guntekin,jahon adabiyoti,o'zbek
JA-265,Otash kechasi,Rashod Nuri Guntekin,jahon adabiyoti,o'zbek
JA-266,Londondan muhabbat ila,Sara Jo,jahon adabiyoti,o'zbek
JA-267,Londondan muhabbat ila,Sara Jo,jahon adabiyoti,o'zbek
JA-268,Minglab odamlar orasida,Sara Jo,jahon adabiyoti,o'zbek
JA-269,Minglab odamlar orasida,Sara Jo,jahon adabiyoti,o'zbek
JA-270,Botinimdagi 365 jangchi,Shahnoz Sayn,jahon adabiyoti,o'zbek
JA-271,Botinimdagi 365 jangchi,Shahnoz Sayn,jahon adabiyoti,o'zbek
JA-272,Onamni asra,Shin Keng Suk,jahon adabiyoti,o'zbek
JA-273,Onamni asra,Shin Keng Suk,jahon adabiyoti,o'zbek
JA-274,Orziqib kutaman ertani,Sidni Sheldon,jahon adabiyoti,o'zbek
JA-275,Orziqib kutaman ertani,Sidni Sheldon,jahon adabiyoti,o'zbek
JA-276,Kristina,Stefan Sveyg,jahon adabiyoti,o'zbek
JA-277,Kristina,Stefan Sveyg,jahon adabiyoti,o'zbek
JA-278,Qalb besabrligi,Stefan Sveyg,jahon adabiyoti,o'zbek
JA-279,Qalb besabrligi,Stefan Sveyg,jahon adabiyoti,o'zbek
JA-280,Chernobil tavallosi,Svetlana Aleksiyevich,jahon adabiyoti,o'zbek
JA-281,Chernobil tavallosi,Svetlana Aleksiyevich,jahon adabiyoti,o'zbek
JA-282,Tabib,Tadeush Dolenga-Mostovich,jahon adabiyoti,o'zbek
JA-283,Tabib,Tadeush Dolenga-Mostovich,jahon adabiyoti,o'zbek
JA-284,Talaba,Tara Vestover,jahon adabiyoti,o'zbek
JA-285,Talaba,Tara Vestover,jahon adabiyoti,o'zbek
JA-286,Sarmoyador,Teador Drayzer,jahon adabiyoti,o'zbek
JA-287,Sarmoyador,Teador Drayzer,jahon adabiyoti,o'zbek
JA-288,Amerika fojiasi 1 jild,Teodor Drayzer,jahon adabiyoti,o'zbek
JA-289,Amerika fojiasi 1 jild,Teodor Drayzer,jahon adabiyoti,o'zbek
JA-290,Amerika fojiasi 2 jild,Teodor Drayzer,jahon adabiyoti,o'zbek
JA-291,Amerika fojiasi 2 jild,Teodor Drayzer,jahon adabiyoti,o'zbek
JA-292,Djenni Gerxardt,Teodor Drayzer,jahon adabiyoti,o'zbek
JA-293,Djenni Gerxardt,Teodor Drayzer,jahon adabiyoti,o'zbek
JA-294,Qo‘zichoqlar sukunati,Tomas Xarris,jahon adabiyoti,o'zbek
JA-295,Qo‘zichoqlar sukunati,Tomas Xarris,jahon adabiyoti,o'zbek
JA-296,Forrest Gamp,Uinston Grum,jahon adabiyoti,o'zbek
JA-297,Forrest Gamp,Uinston Grum,jahon adabiyoti,o'zbek
JA-298,Ikki qutb,Umid Ali,jahon adabiyoti,o'zbek
JA-299,Ikki qutb,Umid Ali,jahon adabiyoti,o'zbek
JA-300,Kod Buzar,Uolter Ayzekson,jahon adabiyoti,o'zbek
JA-301,Kod Buzar,Uolter Ayzekson,jahon adabiyoti,o'zbek
JA-302,Jahon adabiyoti,Vahob Rahmon,jahon adabiyoti,o'zbek
JA-303,Parij Bibi Maryam ibodatxonasi,Viktor Gyugo,jahon adabiyoti,o'zbek
JA-304,Parij Bibi Maryam ibodatxonasi,Viktor Gyugo,jahon adabiyoti,o'zbek
JA-305,Qirol Lir,Vilyam Shekspir,jahon adabiyoti,o'zbek
JA-306,Qirol Lir,Vilyam Shekspir,jahon adabiyoti,o'zbek
JA-307,Shaxsiy xona,Virjiniya Vulf,jahon adabiyoti,o'zbek
JA-308,Shaxsiy xona,Virjiniya Vulf,jahon adabiyoti,o'zbek
JA-309,Shamol ortidan yugurib,Xolid Husayniy,jahon adabiyoti,o'zbek
JA-310,Shamol ortidan yugurib,Xolid Husayniy,jahon adabiyoti,o'zbek
JA-311,Tog‘lar ham sado berdi,Xolid Husayniy‎,jahon adabiyoti,o'zbek
JA-312,Tog‘lar ham sado berdi,Xolid Husayniy‎,jahon adabiyoti,o'zbek
JA-313,Ming quyosh shu’lasi,Xolid Husayniy,jahon adabiyoti,o'zbek
JA-314,Ming quyosh shu’lasi,Xolid Husayniy,jahon adabiyoti,o'zbek
JA-315,Ming quyosh shu’lasi To‘plam,Xolid Husayniy,jahon adabiyoti,o'zbek
JA-316,Ming quyosh shu’lasi To‘plam,Xolid Husayniy,jahon adabiyoti,o'zbek
JA-317,Ishg‘ol qilingan uy,Xulio Kortasar,jahon adabiyoti,o'zbek
JA-318,Ishg‘ol qilingan uy,Xulio Kortasar,jahon adabiyoti,o'zbek
JA-319,Malazgirtda juma tongi,Yavuz Bahodiro‘g‘li,jahon adabiyoti,o'zbek
JA-320,Bahorning 17 lahzasi,Yulian Semyonov,jahon adabiyoti,o'zbek
JA-321,Bahorning 17 lahzasi,Yulian Semyonov,jahon adabiyoti,o'zbek
