ID,Name,Author,Category,Language
UZ-40,Muhokamat-ul Lug'atayn,Alisher Navoiy,o'zbek adabiyoti,o'zbek
UZ-41,Bir yuz bir,Anvar Ergashev,o'zbek adabiyoti,o'zbek
UZ-42,Xaram,Asli Sanjar,o'zbek adabiyoti,o'zbek
UZ-43,Xaram,Asli Sanjar,o'zbek adabiyoti,o'zbek
UZ-44,Opa-singillar,Asqad Muxtor,o'zbek adabiyoti,o'zbek
UZ-45,Opa-singillar,Asqad Muxtor,o'zbek adabiyoti,o'zbek
UZ-46,Chinor,Asqad Muxtor,o'zbek adabiyoti,o'zbek
UZ-47,Bog‘dagul hikoyalar,Bahodir Qobul,o'zbek adabiyoti,o'zbek
UZ-48,Bog‘dagul hikoyalar,Bahodir Qobul,o'zbek adabiyoti,o'zbek
UZ-49,Sulton Jaloliddin Manguberdi,Baxtiyor Abdugofur,o'zbek adabiyoti,o'zbek
UZ-50,Sulton Jaloliddin Manguberdi,Baxtiyor Abdugofur,o'zbek adabiyoti,o'zbek
UZ-51,Oligarxning merosxo‘ri,Chingiz Abdullayev,o'zbek adabiyoti,o'zbek
UZ-52,Oligarxning merosxo‘ri,Chingiz Abdullayev,o'zbek adabiyoti,o'zbek
UZ-53,Borsa kelmasdan qaytganlar,Chingiz Abdullayev,o'zbek adabiyoti,o'zbek
UZ-54,Borsa kelmasdan qaytganlar,Chingiz Abdullayev,o'zbek adabiyoti,o'zbek
UZ-55,Kecha va Kunduz,Cho‘lpon,o'zbek adabiyoti,o'zbek
UZ-56,Kecha va Kunduz,Cho‘lpon,o'zbek adabiyoti,o'zbek
UZ-57,Oygul bilan Baxtiyor,Hamid Olimjon,o'zbek adabiyoti,o'zbek
UZ-58,Oygul bilan Baxtiyor,Hamid Olimjon,o'zbek adabiyoti,o'zbek
UZ-59,Abu Rayhon Beruniy,Isajon Sulton,o'zbek adabiyoti,o'zbek
UZ-60,Abu Rayhon Beruniy,Isajon Sulton,o'zbek adabiyoti,o'zbek
UZ-61,Alisher Navoiy,Isajon Sulton,o'zbek adabiyoti,o'zbek
UZ-62,Alisher Navoiy,Isajon Sulton,o'zbek adabiyoti,o'zbek
UZ-63,Qamal,Ismoil Shomurodov,o'zbek adabiyoti,o'zbek
UZ-64,Qamal,Ismoil Shomurodov,o'zbek adabiyoti,o'zbek
UZ-65,J.A.N. Abdulla Avloniy,J. Abdulla Avloniy,o'zbek adabiyoti,o'zbek
UZ-66,J.A.N. Abdulla Avloniy,J. Abdulla Avloniy,o'zbek adabiyoti,o'zbek
UZ-67,J.A.N. Abdulxamid Cho‘lpon,J. Abdulxamid Cho‘lpon,o'zbek adabiyoti,o'zbek
